NumberOfTubes,TubeHeight,RadiatorLength,TubeWidth,FinDistance,FinHeight,FinWidth,RadiatorHeight,QValue
60,0.00156,0.77,0.0246,0.00158,0.1188,0.0246,61.2124,97155.5
60,0.00156,0.78,0.0246,0.00158,0.1188,0.0246,61.2124,97228.4
60,0.00156,0.79,0.0246,0.00158,0.1188,0.0246,61.2124,97298.6
60,0.00156,0.8,0.0246,0.00158,0.1188,0.0246,61.2124,97366.3
60,0.00156,0.81,0.0246,0.00158,0.1188,0.0246,61.2124,97431.5
60,0.00156,0.82,0.0246,0.00158,0.1188,0.0246,61.2124,97494.3
60,0.00156,0.83,0.0246,0.00158,0.1188,0.0246,61.2124,97554.8
60,0.00156,0.84,0.0246,0.00158,0.1188,0.0246,61.2124,97613.2
60,0.00156,0.85,0.0246,0.00158,0.1188,0.0246,61.2124,97669.4
60,0.00156,0.86,0.0246,0.00158,0.1188,0.0246,61.2124,97723.7
60,0.00156,0.87,0.0246,0.00158,0.1188,0.0246,61.2124,97776.1
60,0.00156,0.88,0.0246,0.00158,0.1188,0.0246,61.2124,97826.6
60,0.00156,0.89,0.0246,0.00158,0.1188,0.0246,61.2124,97875.3
60,0.00156,0.9,0.0246,0.00158,0.1188,0.0246,61.2124,97922.3
60,0.00156,0.91,0.0246,0.00158,0.1188,0.0246,61.2124,97967.8
60,0.00156,0.92,0.0246,0.00158,0.1188,0.0246,61.2124,98011.6
60,0.00156,0.93,0.0246,0.00158,0.1188,0.0246,61.2124,98053.9
60,0.00156,0.94,0.0246,0.00158,0.1188,0.0246,61.2124,98094.8
60,0.00156,0.95,0.0246,0.00158,0.1188,0.0246,61.2124,98134.3
60,0.00156,0.96,0.0246,0.00158,0.1188,0.0246,61.2124,98172.4
60,0.00156,0.97,0.0246,0.00158,0.1188,0.0246,61.2124,98209.3
60,0.00156,0.98,0.0246,0.00158,0.1188,0.0246,61.2124,98244.9
60,0.00156,0.99,0.0246,0.00158,0.1188,0.0246,61.2124,98279.3
60,0.00156,1,0.0246,0.00158,0.1188,0.0246,61.2124,98312.6
